               shift	                cell	              time_d	                  pH	             Olivine	           Enstatite	           Lizardite	           Magnesite	            Siderite	            Dolomite	       Rhodochrosite	                  Mg	                  Fe	                  Si	                   C	                HCO3	              MgHCO3	              FeHCO3	                 CO3	               CO2aq	          alkalinity	
  1.000000000000e+00	  1.100000000000e+01	  1.500000000000e+01	  7.322076900512e+00	  1.986066915252e-02	  3.215890724547e-02	  4.485909968981e-02	  0.000000000000e+00	  0.000000000000e+00	  1.332921138399e-03	  1.835568044625e-05	  1.242182355843e+02	  5.514383856574e-04	  1.954460401736e+01	  4.660296140937e+02	  4.102685951008e+02	  4.057918462972e+00	  9.745553357853e-10	  3.759078306352e-01	  5.021027503991e+01	  4.167224638419e+00	
  1.000000000000e+00	  1.200000000000e+01	  1.500000000000e+01	  7.322076900512e+00	  1.986066915252e-02	  3.215890724547e-02	  4.485909968981e-02	  0.000000000000e+00	  0.000000000000e+00	  1.332921138399e-03	  1.835568044625e-05	  1.242182355843e+02	  5.514383856574e-04	  1.954460401736e+01	  4.660296140937e+02	  4.102685951008e+02	  4.057918462972e+00	  9.745553357853e-10	  3.759078306352e-01	  5.021027503991e+01	  4.167224638419e+00	
  1.000000000000e+00	  1.300000000000e+01	  1.500000000000e+01	  7.322076900512e+00	  1.986066915252e-02	  3.215890724547e-02	  4.485909968981e-02	  0.000000000000e+00	  0.000000000000e+00	  1.332921138399e-03	  1.835568044625e-05	  1.242182355843e+02	  5.514383856574e-04	  1.954460401736e+01	  4.660296140937e+02	  4.102685951008e+02	  4.057918462972e+00	  9.745553357853e-10	  3.759078306352e-01	  5.021027503991e+01	  4.167224638419e+00	
  1.000000000000e+00	  1.400000000000e+01	  1.500000000000e+01	  7.322076900512e+00	  1.986066915252e-02	  3.215890724547e-02	  4.485909968981e-02	  0.000000000000e+00	  0.000000000000e+00	  1.332921138399e-03	  1.835568044625e-05	  1.242182355843e+02	  5.514383856574e-04	  1.954460401736e+01	  4.660296140937e+02	  4.102685951008e+02	  4.057918462972e+00	  9.745553357853e-10	  3.759078306352e-01	  5.021027503991e+01	  4.167224638419e+00	
  1.000000000000e+00	  1.500000000000e+01	  1.500000000000e+01	  7.322076900512e+00	  1.986066915252e-02	  3.215890724547e-02	  4.485909968981e-02	  0.000000000000e+00	  0.000000000000e+00	  1.332921138399e-03	  1.835568044625e-05	  1.242182355843e+02	  5.514383856574e-04	  1.954460401736e+01	  4.660296140937e+02	  4.102685951008e+02	  4.057918462972e+00	  9.745553357853e-10	  3.759078306352e-01	  5.021027503991e+01	  4.167224638419e+00	
  1.000000000000e+00	  1.600000000000e+01	  1.500000000000e+01	  7.322076900512e+00	  1.986066915252e-02	  3.215890724547e-02	  4.485909968981e-02	  0.000000000000e+00	  0.000000000000e+00	  1.332921138399e-03	  1.835568044625e-05	  1.242182355843e+02	  5.514383856574e-04	  1.954460401736e+01	  4.660296140937e+02	  4.102685951008e+02	  4.057918462972e+00	  9.745553357853e-10	  3.759078306352e-01	  5.021027503991e+01	  4.167224638419e+00	
  1.000000000000e+00	  1.700000000000e+01	  1.500000000000e+01	  7.322076900512e+00	  1.986066915252e-02	  3.215890724547e-02	  4.485909968981e-02	  0.000000000000e+00	  0.000000000000e+00	  1.332921138399e-03	  1.835568044625e-05	  1.242182355843e+02	  5.514383856574e-04	  1.954460401736e+01	  4.660296140937e+02	  4.102685951008e+02	  4.057918462972e+00	  9.745553357853e-10	  3.759078306352e-01	  5.021027503991e+01	  4.167224638419e+00	
  1.000000000000e+00	  1.800000000000e+01	  1.500000000000e+01	  7.322076900512e+00	  1.986066915252e-02	  3.215890724547e-02	  4.485909968981e-02	  0.000000000000e+00	  0.000000000000e+00	  1.332921138399e-03	  1.835568044625e-05	  1.242182355843e+02	  5.514383856574e-04	  1.954460401736e+01	  4.660296140937e+02	  4.102685951008e+02	  4.057918462972e+00	  9.745553357853e-10	  3.759078306352e-01	  5.021027503991e+01	  4.167224638419e+00	
  1.000000000000e+00	  1.900000000000e+01	  1.500000000000e+01	  7.322076900512e+00	  1.986066915252e-02	  3.215890724547e-02	  4.485909968981e-02	  0.000000000000e+00	  0.000000000000e+00	  1.332921138399e-03	  1.835568044625e-05	  1.242182355843e+02	  5.514383856574e-04	  1.954460401736e+01	  4.660296140937e+02	  4.102685951008e+02	  4.057918462972e+00	  9.745553357853e-10	  3.759078306352e-01	  5.021027503991e+01	  4.167224638419e+00	
  1.000000000000e+00	  2.000000000000e+01	  1.500000000000e+01	  7.322076900512e+00	  1.986066915252e-02	  3.215890724547e-02	  4.485909968981e-02	  0.000000000000e+00	  0.000000000000e+00	  1.332921138399e-03	  1.835568044625e-05	  1.242182355843e+02	  5.514383856574e-04	  1.954460401736e+01	  4.660296140937e+02	  4.102685951008e+02	  4.057918462972e+00	  9.745553357853e-10	  3.759078306352e-01	  5.021027503991e+01	  4.167224638419e+00	
  2.000000000000e+00	  1.000000000000e+00	  3.000000000000e+01	  8.308159455058e+00	  1.976165906122e-02	  3.215713319483e-02	  4.486178445525e-02	  0.000000000000e+00	  0.000000000000e+00	  1.429987059297e-03	  1.650565838604e-05	  4.051212496318e+01	  3.764756020511e-04	  1.082574923889e+01	  1.251381595941e+02	  1.215800637623e+02	  4.538855839024e-01	  1.728687014581e-11	  9.770212535346e-01	  1.588919235058e+00	  1.252937224654e+00	
