               shift	                cell	              time_d	                  pH	             Olivine	           Enstatite	           Lizardite	           Magnesite	          Chalcedony	             Fe(OH)3	       Rhodochrosite	                  Mg	                  Fe	                  Si	                   C	                HCO3	              MgHCO3	              FeHCO3	                 CO3	               CO2aq	          alkalinity	
  1.000000000000e+00	  3.000000000000e+00	  1.500000000000e+01	  8.294953320070e+00	  1.958450312212e-02	  3.215480575463e-02	  4.484844241063e-02	  2.085136094432e-04	  2.470861963419e-04	  1.089861777704e-04	  5.314290825618e-05	  7.792737211728e+01	  3.520179616466e-03	  3.058423845694e+01	  1.585289072886e+02	  1.531007881347e+02	  1.113574538007e+00	  1.208298227200e-10	  1.726155936323e+00	  1.616440638967e+00	  1.608690876274e+00	
  1.000000000000e+00	  4.000000000000e+00	  1.500000000000e+01	  8.294953320080e+00	  1.958413539900e-02	  3.215480509492e-02	  4.484836978737e-02	  1.902519025721e-04	  2.464478834329e-04	  1.090884108854e-04	  5.330179200966e-05	  7.792737211383e+01	  3.520179616476e-03	  3.058423845696e+01	  1.585289072918e+02	  1.531007881379e+02	  1.113574537983e+00	  1.208298227174e-10	  1.726155936393e+00	  1.616440638967e+00	  1.608690876307e+00	
  1.000000000000e+00	  5.000000000000e+00	  1.500000000000e+01	  8.164676329956e+00	  1.955111043322e-02	  3.215474385925e-02	  4.484127990542e-02	  1.290056951071e-04	  2.907667291063e-04	  1.185460160510e-04	  5.782194870703e-05	  9.101340023581e+01	  3.409099484529e-03	  3.033159920902e+01	  1.870326027757e+02	  1.804578000312e+02	  1.509209656889e+00	  2.061579885864e-10	  1.524888734368e+00	  2.561727659191e+00	  1.879052203448e+00	
  1.000000000000e+00	  6.000000000000e+00	  1.500000000000e+01	  8.164676329960e+00	  1.955144711061e-02	  3.215474448900e-02	  4.484135368703e-02	  1.419073500968e-04	  2.928058367336e-04	  1.184488560989e-04	  5.785646964418e-05	  9.101340023404e+01	  3.409099484532e-03	  3.033159920903e+01	  1.870326027774e+02	  1.804578000328e+02	  1.509209656875e+00	  2.061579885844e-10	  1.524888734395e+00	  2.561727659191e+00	  1.879052203465e+00	
  1.000000000000e+00	  7.000000000000e+00	  1.500000000000e+01	  8.034212196079e+00	  1.951305913447e-02	  3.215467024677e-02	  4.483220122472e-02	  6.932918511267e-05	  3.520276331886e-04	  1.298066582936e-04	  6.328294794081e-05	  1.065880851439e+02	  3.349891128063e-03	  3.014225424709e+01	  2.211238559450e+02	  2.126808325473e+02	  2.047019866104e+00	  3.520194291581e-10	  1.347694392926e+00	  4.059764470143e+00	  2.200813895629e+00	
  1.000000000000e+00	  8.000000000000e+00	  1.500000000000e+01	  8.034212196084e+00	  1.951351025217e-02	  3.215467112663e-02	  4.483231092659e-02	  8.442047401104e-05	  3.509346393187e-04	  1.296723439049e-04	  6.331561074606e-05	  1.065880851414e+02	  3.349891128065e-03	  3.014225424710e+01	  2.211238559473e+02	  2.126808325496e+02	  2.047019866081e+00	  3.520194291542e-10	  1.347694392953e+00	  4.059764470143e+00	  2.200813895652e+00	
  1.000000000000e+00	  9.000000000000e+00	  1.500000000000e+01	  7.903327153223e+00	  1.946894270861e-02	  3.215458120548e-02	  4.482050773143e-02	  0.000000000000e+00	  4.210715768781e-04	  1.433296431699e-04	  6.983620707368e-05	  1.249890651387e+02	  3.337776013299e-03	  2.999955603295e+01	  2.618900701253e+02	  2.504930107277e+02	  2.773321035499e+00	  6.018692653689e-10	  1.190279070974e+00	  6.433725076012e+00	  2.581345451549e+00	
  1.000000000000e+00	  1.000000000000e+01	  1.500000000000e+01	  7.903670246923e+00	  1.946954263801e-02	  3.215458242523e-02	  4.482066944657e-02	  1.625934810521e-05	  4.198338696387e-04	  1.431448375979e-04	  6.986583387736e-05	  1.251135560120e+02	  3.337762837602e-03	  2.999985831939e+01	  2.621026196691e+02	  2.506970432449e+02	  2.778010849259e+00	  6.014092663085e-10	  1.192276753890e+00	  6.433722022161e+00	  2.583515141852e+00	
  1.000000000000e+00	  1.100000000000e+01	  1.500000000000e+01	  7.755431874146e+00	  1.941809042887e-02	  3.215447409720e-02	  4.480552956993e-02	  0.000000000000e+00	  5.032320631749e-04	  1.595176409119e-04	  7.757342723826e-05	  1.396415932561e+02	  3.379562977587e-03	  2.988123187200e+01	  2.989870265445e+02	  2.834349230686e+02	  3.453810516637e+00	  1.069138293036e-09	  9.684791679379e-01	  1.019595935212e+01	  2.910034193661e+00	
  1.000000000000e+00	  1.200000000000e+01	  1.500000000000e+01	  7.759727552649e+00	  1.941877057654e-02	  3.215447554191e-02	  4.480573385220e-02	  0.000000000000e+00	  5.018849226495e-04	  1.592999030566e-04	  7.763661821148e-05	  1.414591014360e+02	  3.377670440858e-03	  2.988382580252e+01	  3.020106962956e+02	  2.863431714851e+02	  3.529177140223e+00	  1.058969338316e-09	  9.890854160439e-01	  1.019589096575e+01	  2.940738706216e+00	
